size,dot,multi
1000,1.76e-5,0.0031103
1000,9.0e-6,0.0039259
1000,8.7e-6,0.0046656
1000,8.0e-6,0.1739158
1000,8.4e-6,0.0056267
1000,8.9e-6,0.0052526
1000,1.41e-5,0.0053132
1000,1.01e-5,0.0045661
1000,9.1e-6,0.0060508
1000,2.43e-5,0.0148896
2000,1.18e-5,0.0191851
2000,2.06e-5,0.0236043
2000,1.3e-5,0.0200515
2000,1.5e-5,0.0268959
2000,1.07e-5,0.0210797
2000,1.46e-5,0.0281677
2000,2.28e-5,0.0194183
2000,1.34e-5,0.0479864
2000,2.06e-5,0.0153941
2000,1.32e-5,0.0235788
3000,1.95e-5,0.0387028
3000,2.13e-5,0.0326608
3000,1.85e-5,0.0351602
3000,1.81e-5,0.035377
3000,1.85e-5,0.0357956
3000,1.75e-5,0.0379028
3000,1.82e-5,0.0394076
3000,2.67e-5,0.0349279
3000,1.79e-5,0.0356709
3000,1.85e-5,0.0402766
4000,1.92e-5,0.0676009
4000,1.91e-5,0.0581815
4000,2.1e-5,0.0601856
4000,2.31e-5,0.0596676
4000,2.1e-5,0.0663512
4000,3.04e-5,0.0614226
4000,1.96e-5,0.0587965
4000,1.95e-5,0.0599679
4000,2.04e-5,0.0601344
4000,2.09e-5,0.0595004
5000,2.12e-5,0.0872296
5000,3.01e-5,0.0871502
5000,2.21e-5,0.0968312
5000,2.18e-5,0.091833
5000,2.23e-5,0.0921914
5000,2.23e-5,0.0942296
5000,2.41e-5,0.0936358
5000,2.25e-5,0.0933513
5000,2.28e-5,0.0930005
5000,2.31e-5,0.093216
6000,2.58e-5,0.127517
6000,2.54e-5,0.1253249
6000,2.62e-5,0.1533954
6000,2.79e-5,0.1587874
6000,2.56e-5,0.1481315
6000,3.76e-5,0.1600977
6000,2.58e-5,0.1350714
6000,2.61e-5,0.1320359
6000,2.49e-5,0.1370704
6000,2.73e-5,0.1383881
7000,2.75e-5,0.1693871
7000,2.73e-5,0.1749219
7000,2.8e-5,0.1801096
7000,2.9e-5,0.1811652
7000,2.74e-5,0.1884848
7000,2.69e-5,0.1799337
7000,2.74e-5,0.182606
7000,2.71e-5,0.183832
7000,2.76e-5,0.184429
7000,3.94e-5,0.1798281
8000,3.05e-5,0.2261843
8000,2.97e-5,0.2222712
8000,5.21e-5,0.2314082
8000,3.02e-5,0.2355389
8000,2.93e-5,0.2358385
8000,2.99e-5,0.2418908
8000,3.85e-5,0.2348195
8000,2.97e-5,0.2352764
8000,2.91e-5,0.2332676
8000,3.01e-5,0.2421837
9000,3.27e-5,0.2936498
9000,3.23e-5,0.2868029
9000,3.23e-5,0.2966934
9000,4.22e-5,0.2925143
9000,3.23e-5,0.3044031
9000,3.19e-5,0.3073263
9000,3.24e-5,0.3090681
9000,3.27e-5,0.3647593
9000,3.32e-5,0.3261865
9000,3.27e-5,0.2960423
10000,4.52e-5,0.3543448
10000,3.64e-5,0.356585
10000,3.52e-5,0.36291
10000,3.54e-5,0.3640739
10000,3.48e-5,0.3673818
10000,3.38e-5,0.3902792
10000,3.43e-5,0.3871035
10000,3.51e-5,0.4109697
10000,3.54e-5,0.4263174
10000,3.66e-5,0.3824502
